"Grouping","","დასაწყისი","","საწყისი მდებარეობა","","დასასრული","","საბოლოო მდგომარეობა","","ხანგრძლივობა","","გარბენი","","რაოდენობა",""
"-----","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"GRW 280","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"GRW 280","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"HAM 222","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"HAM 222","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"ML 959 LM","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"ML 959 LM","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"VOG 1 - 1800","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"VOG 1 - 1800","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"VV 643 W","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"VV 643 W","","-----","","-----","","-----","","-----","","0:00:00","","30.12.1899 00:00:00","","0",""
"2021-02-18","","08:30:56","https://www.google.com/maps?q=41.77783,44.73970","თბილისი, საქართველო, ალექსანდრე ყაზბეგის ქუჩა","https://www.google.com/maps?q=41.77783,44.73970","16:27:08","https://www.google.com/maps?q=41.77726,44.76693","თბილისი, საქართველო, 13 ასურელი მამის ქუჩა","https://www.google.com/maps?q=41.77726,44.76693","5:20:36","","241,015115","","10",""
"ML 679 LM","","08:30:56","https://www.google.com/maps?q=41.77783,44.73970","თბილისი, საქართველო, ალექსანდრე ყაზბეგის ქუჩა","https://www.google.com/maps?q=41.77783,44.73970","16:27:08","https://www.google.com/maps?q=41.77726,44.76693","თბილისი, საქართველო, 13 ასურელი მამის ქუჩა","https://www.google.com/maps?q=41.77726,44.76693","5:20:36","","241,015115","","10",""
"ML 679 LM","","08:30:56","https://www.google.com/maps?q=41.77783,44.73970","თბილისი, საქართველო, ალექსანდრე ყაზბეგის ქუჩა","https://www.google.com/maps?q=41.77783,44.73970","08:43:20","https://www.google.com/maps?q=41.78727,44.80003","თბილისი, საქართველო, Sarajishvili D. Avenue","https://www.google.com/maps?q=41.78727,44.80003","0:12:24","","06.01.1900 04:30:48","","1",""
"ML 679 LM","","08:51:20","https://www.google.com/maps?q=41.78727,44.80006","თბილისი, საქართველო, Sarajishvili D. Avenue","https://www.google.com/maps?q=41.78727,44.80006","09:38:06","https://www.google.com/maps?q=41.95676,44.52662","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95676,44.52662","0:46:46","","39,354127","","1",""
"ML 679 LM","","10:03:56","https://www.google.com/maps?q=41.95677,44.52662","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95677,44.52662","10:12:54","https://www.google.com/maps?q=41.95675,44.52658","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95675,44.52658","0:08:58","","30.12.1899 16:06:29","","1",""
"ML 679 LM","","11:28:34","https://www.google.com/maps?q=41.95675,44.52658","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95675,44.52658","11:29:50","https://www.google.com/maps?q=41.95547,44.52656","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95547,44.52656","0:01:16","","30.12.1899 04:26:01","","1",""
"ML 679 LM","","11:37:22","https://www.google.com/maps?q=41.95551,44.52664","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95551,44.52664","13:17:44","https://www.google.com/maps?q=41.95549,44.52663","ფერმა, საქართველო, შიდა ქართლი","https://www.google.com/maps?q=41.95549,44.52663","1:40:22","","76,897296","","1",""
